Number_of_Vehicles,Accident_Key,Number_of_Casualties,District,Accident_Severity,Month,Year,Day,Time,Junction_Type,Junction_Control,Collision_Type,Road_Type,Weather,Light_Conditions,Road_Character,Surface_Type,Road_Condition,Surface_Condition,Roadworks,Hit_Run,X_Coordinate,Y_Coordinate,longitude,latitude
1,14562,1,Savanne,Slight,Jul,2009,Sat,05:15,Not a junction,Not a junc,Ran off road,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,556672,7732628,57.54351557,-20.50420148
2,14563,10,Savanne,Slight,Jul,2009,Thu,12:30,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,557091,7732836,57.54752719,-20.50230942
1,14564,1,P Wilhems,Slight,Jul,2009,Sun,04:10,Cross,Give way or marking,Hit object off road,One way,Rain,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,No,550118,7759135,57.47991918,-20.26487032
2,14565,1,P Wilhems,Serious,Jul,2009,Tue,15:10,Not a junction,Not a junc,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551086,7758577,57.48920409,-20.26988683
2,14566,1,P Wilhems,Slight,Jul,2009,Mon,16:20,Not a junction,Not a junc,Head On,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,551320,7758406,57.4914497,-20.27142573
1,14567,1,P Wilhems,Slight,Aug,2009,Mon,08:00,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551285,7758992,57.49109788,-20.26613153
1,14568,1,G Port,Fatal,Jul,2009,Wed,23:45,Not a junction,Not a junc,Hit object off road,Dual carriageway,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,559805,7746527,57.573096,-20.37851651
2,14569,1,P Wilhems,Slight,Jul,2009,Sat,06:30,Not a junction,Not a junc,Head On,Two way,Rain,Daylight,Curve+incline,Asphalt,Good,Wet,No,No,556747,7750797,57.54365791,-20.34002696
2,14570,1,G Port,Slight,Jul,2009,Sat,14:35,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,558933,7746749,57.56473285,-20.3765378
1,14571,1,G Port,Slight,Jul,2009,Sun,05:15,Not a junction,Not a junc,Hit object off road,Dual carriageway,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Wet,No,No,559995,7748814,57.57484012,-20.35784553
2,14572,1,G Port,Slight,Jul,2009,Sun,16:00,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,559360,7746883,57.56882004,-20.3753137
