Number_of_Vehicles,Accident_Key,Number_of_Casualties,District,Accident_Severity,Month,Year,Day,Time,Junction_Type,Junction_Control,Collision_Type,Road_Type,Weather,Light_Conditions,Road_Character,Surface_Type,Road_Condition,Surface_Condition,Roadworks,Hit_Run,X_Coordinate,Y_Coordinate,longitude,latitude
1,721,1,Moka,Slight,Feb,2003,Thu,02:30,Not a junction,Not a junc,Ran off road,One way,Fair,Darkness: Street lights present and lit,Curve only,Asphalt,Good,Dry,No,No,562449,7761221,57.59792167,-20.24565833
2,723,1,Moka,Slight,Feb,2003,Fri,16:45,Not a junction,Not a junc,Rear end,One way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,562397,7761157,57.59742602,-20.24623833
2,733,2,Flacq,Fatal,Jan,2003,Sat,09:20,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,577572,7757791,57.74285694,-20.27609741
2,734,1,Flacq,Slight,Feb,2003,Mon,23:00,Not a junction,Not a junc,Side swipe,Two way,Rain,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,Yes,578781,7760603,57.75431123,-20.25063974
2,735,1,Flacq,Slight,Feb,2003,Fri,06:50,T junction,Give way or marking,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,578493,7761171,57.75152918,-20.24551933
1,736,1,Flacq,Slight,Feb,2003,Mon,18:00,Roundabout,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,579716,7759245,57.76332303,-20.26287139
2,744,1,Port Louis,Serious,Nov,2003,Sat,13:30,Cross,Stop sign,Head On,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552340,7770059,57.50087998,-20.1661002
1,748,2,Port Louis,Slight,Jan,2003,Tue,22:50,T junction,Give way or marking,Hit object off road,One way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,550050,7769525,57.4789806,-20.17098653
1,749,1,Port Louis,Serious,Jan,2003,Tue,16:15,T junction,Stop sign,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549485,7769144,57.47358406,-20.17444395
2,750,1,Port Louis,Serious,Jan,2003,Thu,07:30,Cross,Traffic signal,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,552714,7769670,57.50447026,-20.16960504
1,753,1,Port Louis,Slight,Feb,2003,Fri,07:55,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,550293,7769648,57.48130265,-20.16986873
1,813,1,R Rempart,Slight,Jan,2003,Mon,10:15,Roundabout,Give way or marking,Ran off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,566151,7777753,57.63276234,-20.09615147
2,814,1,R Rempart,Slight,Jan,2003,Mon,15:30,Not a junction,Not a junc,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,567161,7782157,57.64226087,-20.05632186
2,815,1,R Rempart,Serious,Feb,2003,Thu,18:35,Not a junction,Not a junc,Head On,Two way,Fair,Dawn/dusk,Curve only,Asphalt,Good,Dry,No,No,565215,7778420,57.62378564,-20.09015629
2,824,3,Black River,Serious,Mar,2003,Tue,22:40,Not a junction,Not a junc,Head On,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,544675,7764066,57.42767739,-20.22044783
1,833,1,R Rempart,Slight,Jan,2003,Thu,19:30,Not a junction,Not a junc,Hit object off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,568877,7783530,57.65861844,-20.043855
2,834,1,R Rempart,Slight,Jan,2003,Tue,11:00,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,568532,7783811,57.65530909,-20.04132813
2,839,1,R Rempart,Slight,Feb,2003,Sat,11:15,Cross,Stop sign,Right angle,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,567253,7784795,57.64304358,-20.0324815
3,844,2,R Rempart,Slight,Mar,2003,Sat,05:25,Not a junction,Not a junc,Head On,Two way,Fair,Darkness:street lights present but unlit,Straight+Flat,Asphalt,Good,Dry,No,No,569902,7784847,57.6683689,-20.03191779
1,845,1,Pamplemousses,Serious,Jan,2003,Fri,13:05,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,555430,7774389,57.53031745,-20.12688703
2,846,1,Pamplemousses,Serious,Jan,2003,Sat,06:30,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,555558,7774901,57.53152639,-20.12225683
2,847,1,Pamplemousses,Fatal,Jan,2003,Fri,08:50,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,554263,7774133,57.51916035,-20.12923353
2,863,1,R Rempart,Slight,Feb,2003,Sat,23:15,Not a junction,Not a junc,Head On,Two way,Fair,Darkness:no street lighting,Curve only,Asphalt,Good,Dry,Yes,No,562824,7786321,57.60064486,-20.01884112
1,864,1,R Rempart,Slight,Feb,2003,Wed,18:35,Not a junction,Not a junc,Other,Two way,Rain,Dawn/dusk,Straight+Flat,Asphalt,Good,Wet,No,No,561153,7787000,57.58464679,-20.01275901
1,865,1,R Rempart,Slight,Feb,2003,Sat,01:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness:street lights present but unlit,Straight+Flat,Asphalt,Good,Dry,No,No,562177,7789453,57.59435304,-19.99056063
2,866,1,R Rempart,Slight,Feb,2003,Sat,15:02,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,Yes,562309,7789600,57.59560979,-19.98922807
2,867,1,R Rempart,Slight,Mar,2003,Mon,19:10,Not a junction,Not a junc,Side swipe,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,No,561055,7788372,57.5836642,-20.00036442
1,868,1,R Rempart,Serious,Mar,2003,Sun,06:25,Not a junction,Not a junc,Ran off road,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,564380,7789245,57.61541803,-19.99236831
2,869,1,R Rempart,Fatal,Mar,2003,Sat,19:00,Not a junction,Not a junc,Rear end,Two way,Fair,Darkness:no street lighting,Incline only,Asphalt,Good,Dry,No,No,563461,7788072,57.60667415,-20.00299803
1,870,1,R Rempart,Slight,Mar,2003,Wed,17:10,Slip road,Give way or marking,Other,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,561502,7786825,57.58798912,-20.0143293
2,871,1,R Rempart,Slight,Mar,2003,Wed,11:15,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,564435,7788613,57.61596597,-19.99807734
2,872,1,Flacq,Slight,Mar,2003,Sun,11:30,Roundabout,Give way or marking,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,578364,7759862,57.75035096,-20.25735228
1,873,2,Flacq,Slight,Mar,2003,Thu,15:50,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,579173,7759814,57.7580989,-20.25775268
1,874,2,Flacq,Slight,Mar,2003,Sun,21:45,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Curve only,Asphalt,Good,Dry,No,No,581435,7756685,57.77989786,-20.28592999
1,875,1,Flacq,Slight,Mar,2003,Wed,15:35,Not a junction,Not a junc,Hit object off road,Two way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,581483,7753644,57.78049516,-20.31340502
2,876,1,Flacq,Slight,Mar,2003,Tue,06:45,T junction,Uncontrolled,Head On,Two way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,580811,7757922,57.7738668,-20.2747795
2,885,4,Black River,Fatal,Jan,2003,Sun,18:11,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,539444,7752044,57.37786449,-20.32919595
1,886,1,Black River,Fatal,Feb,2003,Sun,20:40,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,No,538521,7742789,57.36922138,-20.41284412
1,887,1,Flacq,Slight,Mar,2003,Fri,10:15,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,582096,7761545,57.78600663,-20.24198885
1,888,1,Flacq,Slight,Mar,2003,Tue,09:05,Not a junction,Not a junc,Hit animal,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,581660,7761305,57.7818434,-20.24417605
1,897,1,Flacq,Serious,Mar,2003,Sat,17:30,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575845,7766993,57.72593343,-20.19302006
2,898,1,Flacq,Slight,Mar,2003,Sun,14:10,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,574548,7768240,57.71346893,-20.18180324
1,902,2,Flacq,Slight,Mar,2003,Mon,09:35,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575411,7767174,57.72177222,-20.19140168
2,905,1,Flacq,Slight,Mar,2003,Sun,07:00,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575676,7767078,57.72431244,-20.19225869
1,911,2,Flacq,Serious,Apr,2003,Wed,22:40,Not a junction,Not a junc,Hit object off road,Two way,Rain,Darkness:no street lighting,Curve only,Asphalt,Good,Wet,No,No,577476,7772589,57.7413043,-20.14239081
1,915,1,G Port,Slight,Feb,2003,Wed,07:10,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,572427,7744708,57.69411687,-20.39451315
2,916,2,G Port,Slight,Mar,2003,Sat,15:00,T junction,Give way or marking,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,572518,7745134,57.69497168,-20.3906605
2,919,1,G Port,Slight,Apr,2003,Fri,17:00,Not a junction,Not a junc,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,572416,7741287,57.69414997,-20.42542436
1,920,1,Moka,Slight,Mar,2003,Sun,08:20,Not a junction,Not a junc,Hit pedestrian,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,562070,7761052,57.59429887,-20.24719774
1,921,1,Moka,Slight,Mar,2003,Sun,15:30,Not a junction,Not a junc,Ran off road,Two way,Rain,Daylight,Curve only,Asphalt,Good,Wet,No,No,557938,7758842,57.55480877,-20.26729687
2,922,1,Moka,Slight,Apr,2003,Tue,18:10,Not a junction,Not a junc,Side swipe,One way,Rain,Dawn/dusk,Straight+Flat,Asphalt,Good,Wet,No,No,562138,7761020,57.59495102,-20.24748468
1,923,1,Moka,Slight,Apr,2003,Fri,15:40,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,562338,7761074,57.59686401,-20.24699024
1,924,1,Moka,Slight,Apr,2003,Sun,08:05,Not a junction,Not a junc,Hit pedestrian,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,562674,7761029,57.60008252,-20.24738588
2,925,1,Moka,Slight,Apr,2003,Tue,18:00,Not a junction,Not a junc,Rear end,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,563818,7761198,57.6110295,-20.245821
1,946,1,P Wilhems,Slight,Jul,2003,Mon,15:00,T junction,Stop sign,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549464,7761379,57.47359529,-20.24461031
2,947,1,P Wilhems,Slight,Jul,2003,Sat,09:30,Cross,Traffic signal,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,549818,7761419,57.47698349,-20.24423968
1,948,1,Flacq,Slight,Jan,2003,Sat,15:30,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,570114,7768598,57.6710213,-20.17873541
1,949,1,Flacq,Slight,Jan,2003,Sat,22:15,Not a junction,Not a junc,Hit object off road,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,570089,7769071,57.67076378,-20.17446235
1,950,1,Flacq,Slight,Jan,2003,Fri,15:45,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,568856,7769280,57.65895641,-20.17261843
2,951,1,Flacq,Slight,Feb,2003,Mon,07:47,staggered,Give way or marking,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,569382,7769227,57.66399204,-20.17307841
1,952,1,Flacq,Slight,Feb,2003,Thu,22:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,568236,7770068,57.65299363,-20.16552024
1,953,1,Flacq,Slight,Feb,2003,Fri,17:00,T junction,Give way or marking,Hit animal,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,569755,7767240,57.66763795,-20.19101921
3,954,2,Flacq,Slight,Mar,2003,Wed,19:15,Cross,Give way or marking,Rear end,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,571609,7769436,57.68529526,-20.1711082
1,955,1,Flacq,Slight,Mar,2003,Tue,07:10,Not a junction,Not a junc,Hit animal,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,568281,7770019,57.65342608,-20.16596141
1,956,1,Flacq,Slight,Apr,2003,Mon,14:45,Cross,Traffic signal,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,570248,7769031,57.67228691,-20.17481798
1,957,1,Flacq,Slight,Apr,2003,Tue,22:15,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,571844,7772136,57.68743724,-20.14670257
2,958,1,Flacq,Fatal,Apr,2003,Thu,09:15,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,568326,7769941,57.65385964,-20.16666461
1,987,1,R Rempart,Slight,Jan,2003,Thu,20:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,570283,7781043,57.67215793,-20.06627699
2,988,1,R Rempart,Serious,Jan,2003,Wed,07:30,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,571260,7780575,57.68151934,-20.07047004
1,991,1,R Rempart,Slight,Jul,2003,Sat,05:30,Not a junction,Not a junc,Other,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,556314,7783736,57.53848608,-20.04240002
2,993,2,R Rempart,Fatal,Jan,2003,Sat,10:30,T junction,Stop sign,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,558753,7787396,57.56168999,-20.00925491
2,1000,10,Moka,Fatal,Jan,2003,Wed,19:20,Not a junction,Not a junc,Head On,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,569111,7757388,57.66185117,-20.28006362
1,1001,1,Moka,Serious,Feb,2003,Thu,19:30,T junction,Give way or marking,Hit object on road,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,569103,7756778,57.66179795,-20.28557574
1,1002,1,P Wilhems,Slight,Apr,2003,Wed,08:00,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Curve only,Asphalt,Good,Wet,No,No,550226,7756652,57.48102251,-20.28730409
2,1003,1,P Wilhems,Slight,Apr,2003,Sun,19:45,T junction,Stop sign,Head On,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,550675,7754364,57.48538694,-20.30796672
1,1006,1,P Wilhems,Slight,May,2003,Sun,09:30,Not a junction,Not a junc,Hit pedestrian,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,549832,7755045,57.47729368,-20.30183538
1,1007,1,P Wilhems,Serious,May,2003,Thu,15:45,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,551373,7754614,57.49206536,-20.30568904
1,1008,1,Flacq,Serious,Jan,2003,Thu,20:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,570357,7762216,57.67359483,-20.23639331
2,1009,2,Flacq,Slight,Jan,2003,Mon,08:00,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Bridge,Asphalt,Good,Dry,No,No,570983,7761278,57.67962467,-20.24484579
1,1010,1,Flacq,Serious,Jan,2003,Mon,14:20,Not a junction,Not a junc,Ran off road,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,570795,7762705,57.67776885,-20.23195865
1,1011,1,Flacq,Slight,Jan,2003,Wed,17:50,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,571332,7760674,57.68298984,-20.25029043
2,1012,1,Flacq,Serious,Feb,2003,Thu,20:45,T junction,Give way or marking,Hit pedestrian,Two way,Rain,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Wet,No,No,570679,7762567,57.67666376,-20.23320988
1,1013,1,Flacq,Serious,Feb,2003,Sat,04:30,Not a junction,Not a junc,Ran off road,Two way,Rain,Darkness: Street lights present and lit,Curve only,Gravel,Good,Wet,No,No,566962,7762111,57.64109671,-20.23746382
2,1015,2,Flacq,Slight,Feb,2003,Wed,08:15,Not a junction,Not a junc,Side swipe,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,569551,7763145,57.66584287,-20.22802846
2,1016,2,Flacq,Slight,Feb,2003,Wed,10:55,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,Yes,No,566783,7761602,57.63940185,-20.24206933
2,1018,1,Flacq,Slight,Mar,2003,Thu,07:45,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Curve only,Asphalt,Good,Wet,No,No,570078,7763364,57.67087934,-20.22603041
2,1019,3,Flacq,Slight,Mar,2003,Wed,17:30,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,566632,7763347,57.63789186,-20.22630697
1,1020,2,Flacq,Slight,May,2003,Sun,13:30,Not a junction,Not a junc,Hit object off road,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,566810,7763491,57.63959052,-20.22499961
2,1021,4,Flacq,Slight,May,2003,Wed,06:25,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,572047,7760000,57.68986235,-20.25635375
1,1022,1,Flacq,Serious,May,2003,Tue,15:05,Not a junction,Not a junc,Other,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,571176,7763174,57.68139777,-20.22770673
1,1023,3,Flacq,Slight,May,2003,Sun,14:35,Not a junction,Not a junc,Hit object on road,One way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,575453,7766997,57.72218155,-20.19299937
2,1024,1,Flacq,Slight,May,2003,Sun,11:30,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,576956,7766220,57.73659931,-20.19996045
2,1026,1,Flacq,Slight,May,2003,Thu,05:40,Not a junction,Not a junc,Rear end,Two way,Fair,Dawn/dusk,Straight+Flat,Asphalt,Good,Dry,No,No,574896,7768407,57.7167924,-20.18028072
1,1028,1,Flacq,Slight,Apr,2003,Mon,17:45,Not a junction,Not a junc,Hit pedestrian,Two way,Rain,Dawn/dusk,Straight+Flat,Earth,Good,Wet,No,No,580965,7766673,57.77494941,-20.1957023
1,1033,1,R Rempart,Serious,Apr,2003,Sun,17:45,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,565508,7786092,57.62631299,-20.02082149
3,1034,1,R Rempart,Slight,Apr,2003,Tue,17:15,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,564898,7786314,57.62047325,-20.018836
2,1037,1,R Rempart,Slight,May,2003,Sun,21:30,Cross,Give way or marking,Rear end,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,567503,7784596,57.6454412,-20.03427098
2,1039,1,R Rempart,Slight,May,2003,Tue,07:15,Not a junction,Not a junc,Head On,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,567648,7784496,57.64683128,-20.03516953
1,1040,1,R Rempart,Slight,May,2003,Wed,22:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,568402,7783918,57.65406208,-20.04036587
1,1046,1,Black River,Slight,Apr,2003,Tue,20:15,Not a junction,Not a junc,Ran off road,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,541946,7755945,57.40174169,-20.2938925
2,1047,1,Black River,Slight,Mar,2003,Thu,18:50,Not a junction,Not a junc,Head On,Two way,Fair,Dawn/dusk,Curve only,Asphalt,Good,Dry,No,No,538130,7755681,57.36519977,-20.2963581
2,1048,1,Black River,Slight,Mar,2003,Fri,15:30,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,538012,7755984,57.36406322,-20.29362249
2,1049,2,Black River,Slight,Mar,2003,Sun,12:45,Not a junction,Not a junc,Head On,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,543100,7760018,57.41269665,-20.25706247
1,1050,1,Black River,Fatal,May,2003,Thu,04:30,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,542137,7756961,57.40354721,-20.28470755
1,1051,1,Black River,Serious,May,2003,Sun,00:10,Not a junction,Not a junc,Hit object off road,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,542271,7757661,57.40481409,-20.27837927
2,1052,1,Pamplemousses,Slight,Apr,2003,Tue,10:45,Y junction,Stop sign,Other,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,559771,7771849,57.57193128,-20.14970889
1,1053,1,Pamplemousses,Serious,May,2003,Mon,12:00,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,558937,7772203,57.56393978,-20.14653584
2,1054,2,Pamplemousses,Slight,May,2003,Mon,07:20,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,559725,7771959,57.57148752,-20.14871635
1,1055,2,Pamplemousses,Slight,May,2003,Sat,22:15,Y junction,Give way or marking,Hit animal,Two way,Fair,Darkness:no street lighting,Curve only,Asphalt,Good,Dry,No,No,559820,7771708,57.57240477,-20.15098145
1,1057,1,Pamplemousses,Slight,May,2003,Thu,07:30,Not a junction,Not a junc,Hit animal,Two way,Fair,Daylight,Curve only,Asphalt,Good,Dry,No,No,562348,7761082,57.59695948,-20.24691762
2,1060,1,Black River,Slight,Jan,2003,Tue,17:30,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,542581,7759528,57.40773871,-20.26150183
2,1061,2,Black River,Slight,Feb,2003,Sun,21:55,Roundabout,Stop sign,Head On,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,Yes,542232,7757461,57.40444529,-20.28018737
2,1062,1,Black River,Serious,Apr,2003,Sat,10:50,Y junction,Stop sign,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,544823,7763613,57.42910541,-20.22453777
1,1063,1,Black River,Slight,Apr,2003,Tue,13:30,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,543269,7760009,57.41431506,-20.25713998
2,1065,1,Black River,Slight,Mar,2003,Thu,14:10,Not a junction,Not a junc,Rear end,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,544440,7762745,57.42546023,-20.23239012
1,1066,1,Black River,Slight,Mar,2003,Thu,13:45,Not a junction,Not a junc,Other,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,542269,7757668,57.40479477,-20.27831606
1,1067,2,Black River,Slight,Apr,2003,Thu,01:00,Not a junction,Not a junc,Ran off road,Two way,Fair,Darkness:no street lighting,Straight+Flat,Asphalt,Good,Dry,No,No,544863,7757167,57.42964852,-20.28278401
1,1068,1,Flacq,Slight,May,2003,Sat,17:05,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,569398,7769217,57.66414554,-20.17316819
2,1069,2,Flacq,Slight,May,2003,Wed,20:45,T junction,Traffic signal,Rear end,Two way,Fair,Darkness: Street lights present and lit,Straight+Flat,Asphalt,Good,Dry,No,No,568500,7769579,57.65553835,-20.16992942
1,1070,1,Flacq,Slight,May,2003,Tue,12:30,T junction,Give way or marking,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,Yes,571891,7769593,57.68798762,-20.16967904
2,1071,1,Pamplemousses,Fatal,Jan,2003,Tue,06:50,T junction,Give way or marking,Side swipe,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,559627,7771079,57.57057871,-20.15667114
1,1072,1,Pamplemousses,Slight,Jan,2003,Sat,07:10,T junction,Uncontrolled,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,559030,7767722,57.56497538,-20.18702365
1,1073,1,Pamplemousses,Slight,Jan,2003,Mon,11:10,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,559786,7771811,57.57207605,-20.15005179
1,1074,1,Pamplemousses,Slight,Jan,2003,Wed,14:30,T junction,Uncontrolled,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,559663,7771152,57.57092079,-20.15601039
1,1075,1,Pamplemousses,Serious,Feb,2003,Wed,16:20,Not a junction,Not a junc,Hit pedestrian,Two way,Fair,Daylight,Straight+Flat,Asphalt,Good,Dry,No,No,558445,7772537,57.5592215,-20.14353279
1,1076,1,Pamplemousses,Slight,Feb,2003,Wed,08:45,T junction,Police Off,Hit pedestrian,Two way,Rain,Daylight,Straight+Flat,Asphalt,Good,Wet,No,No,559667,7771144,57.57095933,-20.15608255
2,1088,1,Port Louis,Slight,Feb,2003,Thu,21:40,Roundabout,Give way or marking,Rear end,Dual carriageway,Fair,Darkness: Street lights present and lit,Curve only,Asphalt,Good,Dry,No,No,553475,7772624,57.51166579,-20.14289118
